driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Evening,2-5yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Evening,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,1-2yr,Taxi,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Unknown,Other,Raining and Windy,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Above 10yr,Automobile,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,2-5yr,Afternoon,5-10yrs,Automobile,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Unknown,1-2yr,Afternoon,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
Unknown,5-10yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,1-2yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Unknown,Unknown,Slight Injury
18-30,5-10yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Below 1yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Governmental,No defect,Serious Injury
18-30,2-5yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Over 51,Above 10yr,Morning,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,2-5yrs,Other,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,Unknown,Morning,2-5yrs,Other,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,Above 10yr,Night,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,7,Slight Injury
31-50,Above 10yr,Morning,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,Unknown,Morning,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Unknown,Owner,5,Slight Injury
31-50,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Unknown,Pickup,Other,Asphalt roads,Daylight,Owner,Governmental,No defect,Slight Injury
18-30,Unknown,Night,Unknown,Public_transport,Raining,Unknown,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
18-30,Below 1yr,Night,Below 1yr,Pickup,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
18-30,Above 10yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
Unknown,5-10yr,Afternoon,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Owner,Organization,Unknown,Serious Injury
31-50,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,5-10yr,Morning,Above 10yr,Pickup,Snow,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Over 51,5-10yr,Morning,Unknown,Lorry,Snow,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Unknown,Unknown,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,1-2yr,Other,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,No Licence,Morning,Unknown,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Organization,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Other,Cloudy,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Organization,No defect,Slight Injury
Unknown,5-10yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Afternoon,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Evening,1-2yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Evening,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
31-50,1-2yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Evening,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Serious Injury
Unknown,Above 10yr,Afternoon,5-10yrs,Other,Fog or mist,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Unknown,5-10yr,Evening,Unknown,Lorry,Other,Gravel roads,Darkness - lights lit,Employee,Unknown,Unknown,Slight Injury
Under 18,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Morning,1-2yr,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Unknown,Above 10yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Unknown,Above 10yr,Afternoon,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads with some distress,Daylight,Employee,Owner,Unknown,Slight Injury
Unknown,Above 10yr,Evening,2-5yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Other,Owner,Unknown,Slight Injury
Under 18,Below 1yr,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Unknown,No defect,Slight Injury
Under 18,5-10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Above 10yr,Unknown,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Unknown,Lorry,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,Below 1yr,Afternoon,Unknown,Taxi,Raining,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Afternoon,5-10yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,5-10yrs,Automobile,Other,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,Above 10yr,Lorry,Other,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,5-10yrs,Lorry,Snow,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Other,Snow,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Automobile,Snow,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,1-2yr,Afternoon,5-10yrs,Unknown,Snow,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,No Licence,Afternoon,Unknown,Taxi,Snow,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Snow,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Above 10yr,Other,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Serious Injury
Unknown,2-5yr,Afternoon,1-2yr,Automobile,Unknown,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Morning,Unknown,Automobile,Raining,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Above 10yr,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Unknown,Pickup,Other,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Serious Injury
Under 18,Below 1yr,Night,Unknown,Lorry,Other,Asphalt roads,Darkness - lights lit,Owner,Unknown,Unknown,Slight Injury
Under 18,2-5yr,Night,Above 10yr,Motorcycle,Other,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,2-5yrs,Lorry,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Serious Injury
18-30,Unknown,Evening,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Owner,Unknown,Unknown,Serious Injury
31-50,Below 1yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Serious Injury
18-30,5-10yr,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Owner,Governmental,No defect,Slight Injury
Unknown,Unknown,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,2-5yrs,Lorry,Unknown,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Unknown,Automobile,Unknown,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Unknown,5-10yr,Evening,Unknown,Taxi,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,7,Slight Injury
Over 51,Above 10yr,Evening,Above 10yr,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,No Licence,Afternoon,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Afternoon,Unknown,Automobile,Unknown,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Automobile,Unknown,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,5-10yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,1-2yr,Morning,2-5yrs,Pickup,Normal,Asphalt roads with some distress,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Morning,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,5-10yrs,Pickup,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Afternoon,2-5yrs,Motorcycle,Normal,Asphalt roads,Daylight,Employee,Organization,Unknown,Slight Injury
18-30,5-10yr,Evening,Unknown,Automobile,Normal,Gravel roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,Below 1yr,Evening,Unknown,Taxi,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Organization,Unknown,Slight Injury
31-50,Above 10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Employee,Organization,No defect,Slight Injury
Under 18,2-5yr,Afternoon,Above 10yr,Other,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Unknown,Taxi,Normal,Unknown,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Taxi,Normal,Unknown,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,5-10yrs,Lorry,Normal,Earth roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Serious Injury
18-30,5-10yr,Afternoon,Unknown,Other,Normal,Earth roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,1-2yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Unknown,Pickup,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Serious Injury
18-30,Above 10yr,Afternoon,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,2-5yrs,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Under 18,No Licence,Afternoon,Above 10yr,Public_transport,Normal,Asphalt roads with some distress,Daylight,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Daylight,Owner,Governmental,No defect,Slight Injury
18-30,2-5yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Serious Injury
Over 51,5-10yr,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
18-30,Above 10yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Governmental,No defect,Slight Injury
31-50,5-10yr,Morning,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,Below 1yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Owner,Unknown,Unknown,Slight Injury
18-30,2-5yr,Morning,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Morning,1-2yr,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,2-5yrs,Automobile,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
31-50,Below 1yr,Night,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,5-10yrs,Bicycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Unknown,Above 10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Unknown,Unknown,Slight Injury
31-50,Above 10yr,Night,Above 10yr,Public_transport,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Night,2-5yrs,Other,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,2-5yrs,Automobile,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
18-30,5-10yr,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Afternoon,Below 1yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,Below 1yr,Afternoon,5-10yrs,Public_transport,Normal,Earth roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,Below 1yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,2-5yrs,Public_transport,Normal,Unknown,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Unknown,Public_transport,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,Unknown,Pickup,Normal,Unknown,Daylight,Employee,Owner,Unknown,Slight Injury
